"batch","date","defectives","inspected"
1,2025-01-01,3,100
2,2025-01-02,2,100
3,2025-01-03,2,100
4,2025-01-04,2,100
5,2025-01-05,3,100
6,2025-01-06,2,100
7,2025-01-07,4,100
8,2025-01-08,0,100
9,2025-01-09,2,100
10,2025-01-10,2,100
11,2025-01-11,1,100
12,2025-01-12,4,100
13,2025-01-13,2,100
14,2025-01-14,0,100
15,2025-01-15,2,100
16,2025-01-16,3,100
17,2025-01-17,1,100
18,2025-01-18,1,100
19,2025-01-19,3,100
20,2025-01-20,0,100
21,2025-01-21,1,100
22,2025-01-22,3,100
23,2025-01-23,0,100
24,2025-01-24,2,100
25,2025-01-25,1,100
26,2025-01-26,4,100
27,2025-01-27,3,100
28,2025-01-28,1,100
29,2025-01-29,3,100
30,2025-01-30,1,100
