"roll","date","defects","meters"
1,2025-01-01,3,50
2,2025-01-02,1,50
3,2025-01-03,3,50
4,2025-01-04,3,50
5,2025-01-05,4,50
6,2025-01-06,1,50
7,2025-01-07,1,50
8,2025-01-08,1,50
9,2025-01-09,8,50
10,2025-01-10,5,50
11,2025-01-11,2,50
12,2025-01-12,6,50
13,2025-01-13,4,50
14,2025-01-14,4,50
15,2025-01-15,9,50
16,2025-01-16,4,50
17,2025-01-17,4,50
18,2025-01-18,1,50
19,2025-01-19,3,50
20,2025-01-20,3,50
21,2025-01-21,1,50
22,2025-01-22,4,50
23,2025-01-23,1,50
24,2025-01-24,1,50
25,2025-01-25,3,50
26,2025-01-26,2,50
27,2025-01-27,2,50
28,2025-01-28,3,50
29,2025-01-29,4,50
30,2025-01-30,3,50
