"subgroup","measurement"
1,47.1337
1,50.9204
1,49.8938
1,47.9565
1,51.5444
2,50.5016
2,49.4193
2,51.2046
2,51.1791
2,51.0943
3,51.9682
3,51.7661
3,50.8424
3,50.4763
3,50.3645
4,49.0002
4,49.7304
4,48.1442
4,53.2957
4,51.8542
5,48.3929
5,49.4732
5,49.3776
5,51.2475
5,49.9525
6,51.409
6,50.9862
6,50.9647
6,53.0819
6,50.6904
7,52.5513
7,47.9534
7,51.1535
7,50.4623
7,50.6005
8,49.8104
8,48.4875
8,48.7412
8,47.7131
8,47.6333
9,50.0432
9,50.2602
9,49.6674
9,50.9713
9,52.663
10,48.9961
10,46.2688
10,51.2412
10,48.6688
10,48.7006
11,52.2728
11,50.3073
11,48.9034
11,51.0064
11,50.5261
12,50.2245
12,50.7938
12,49.6599
12,51.1825
12,49.8852
13,50.7381
13,51.8857
13,50.8932
13,49.7516
13,51.9637
14,51.5567
14,50.889
14,50.4245
14,49.1246
14,52.1074
15,48.7661
15,52.9475
15,51.9654
15,49.3129
15,48.1269
16,50.0065
16,51.4575
16,50.7021
16,50.5508
16,49.6447
17,50.2312
17,49.1214
17,47.7968
17,49.7284
17,51.6772
18,47.957
18,49.732
18,46.3932
18,48.7367
18,49.5991
19,50.8725
19,50.5793
19,49.4598
19,49.1463
19,48.8846
20,49.8928
20,48.2951
20,48.9805
20,49.3322
20,52.4821
21,48.3814
21,49.7124
21,49.4762
21,47.9165
21,49.2523
22,52.036
22,50.5465
22,49.9311
22,49.2355
22,46.7893
23,51.0814
23,47.1934
23,50.4943
23,52.2481
23,47.2186
24,50.6153
24,49.1694
24,47.2044
24,47.2907
24,47.1604
25,48.8286
25,47.4323
25,50.6569
25,52.7751
25,47.6944
