"检验员","响应","样本","试验","标准"
"Mike",5,1,1,5
"Mike",5,1,2,5
"Mike",3,2,1,3
"Mike",3,2,2,3
"Mike",1,3,1,1
"Mike",1,3,2,1
"Mike",2,4,1,2
"Mike",2,4,2,2
"Mike",1,5,1,1
"Mike",1,5,2,1
"Mike",2,6,1,3
"Mike",3,6,2,3
"Mike",4,7,1,4
"Mike",4,7,2,4
"Mike",5,8,1,5
"Mike",5,8,2,5
"Mike",2,9,1,2
"Mike",2,9,2,2
"Mike",1,10,1,1
"Mike",1,10,2,1
"Mike",5,11,1,5
"Mike",5,11,2,5
"Mike",4,12,1,4
"Mike",4,12,2,4
"Mike",1,13,1,1
"Mike",1,13,2,1
"Mike",3,14,1,3
"Mike",3,14,2,3
"Mike",2,15,1,2
"Mike",2,15,2,2
"Mike",4,16,1,4
"Mike",4,16,2,4
"Mike",1,17,1,1
"Mike",1,17,2,1
"Mike",2,18,1,2
"Mike",2,18,2,2
"Mike",3,19,1,3
"Mike",3,19,2,3
"Mike",5,20,1,5
"Mike",5,20,2,5
"Mike",5,21,1,5
"Mike",4,21,2,5
"Mike",4,22,1,4
"Mike",4,22,2,4
"Mike",3,23,1,3
"Mike",3,23,2,3
"Mike",2,24,1,2
"Mike",2,24,2,2
"Mike",2,25,1,2
"Mike",2,25,2,2
"Mike",4,26,1,4
"Mike",4,26,2,4
"Mike",1,27,1,1
"Mike",1,27,2,1
"Mike",2,28,1,2
"Mike",2,28,2,2
"Mike",5,29,1,5
"Mike",5,29,2,5
"Mike",3,30,1,3
"Mike",3,30,2,3
"Mike",5,31,1,5
"Mike",5,31,2,5
"Mike",2,32,1,2
"Mike",2,32,2,2
"Mike",1,33,1,1
"Mike",1,33,2,1
"Mike",3,34,1,3
"Mike",3,34,2,3
"Mike",1,35,1,1
"Mike",1,35,2,1
"Mike",3,36,1,2
"Mike",2,36,2,2
"Mike",4,37,1,5
"Mike",5,37,2,5
"Mike",4,38,1,4
"Mike",4,38,2,4
"Mike",2,39,1,2
"Mike",2,39,2,2
"Mike",3,40,1,3
"Mike",3,40,2,3
"Mike",1,41,1,1
"Mike",1,41,2,1
"Mike",2,42,1,2
"Mike",2,42,2,2
"Mike",2,43,1,2
"Mike",3,43,2,2
"Mike",3,44,1,3
"Mike",3,44,2,3
"Mike",3,45,1,3
"Mike",3,45,2,3
"Mike",5,46,1,5
"Mike",5,46,2,5
"Mike",4,47,1,4
"Mike",4,47,2,4
"Mike",5,48,1,5
"Mike",5,48,2,5
"Mike",4,49,1,4
"Mike",4,49,2,4
"Mike",1,50,1,1
"Mike",1,50,2,1
"Amanda",5,1,1,5
"Amanda",5,1,2,5
"Amanda",3,2,1,3
"Amanda",3,2,2,3
"Amanda",1,3,1,1
"Amanda",1,3,2,1
"Amanda",2,4,1,2
"Amanda",2,4,2,2
"Amanda",1,5,1,1
"Amanda",1,5,2,1
"Amanda",2,6,1,3
"Amanda",2,6,2,3
"Amanda",4,7,1,4
"Amanda",4,7,2,4
"Amanda",5,8,1,5
"Amanda",5,8,2,5
"Amanda",2,9,1,2
"Amanda",2,9,2,2
"Amanda",1,10,1,1
"Amanda",1,10,2,1
"Amanda",5,11,1,5
"Amanda",5,11,2,5
"Amanda",4,12,1,4
"Amanda",4,12,2,4
"Amanda",1,13,1,1
"Amanda",1,13,2,1
"Amanda",3,14,1,3
"Amanda",3,14,2,3
"Amanda",2,15,1,2
"Amanda",2,15,2,2
"Amanda",4,16,1,4
"Amanda",4,16,2,4
"Amanda",1,17,1,1
"Amanda",1,17,2,1
"Amanda",2,18,1,2
"Amanda",2,18,2,2
"Amanda",3,19,1,3
"Amanda",3,19,2,3
"Amanda",5,20,1,5
"Amanda",5,20,2,5
"Amanda",5,21,1,5
"Amanda",5,21,2,5
"Amanda",4,22,1,4
"Amanda",4,22,2,4
"Amanda",3,23,1,3
"Amanda",3,23,2,3
"Amanda",2,24,1,2
"Amanda",2,24,2,2
"Amanda",2,25,1,2
"Amanda",2,25,2,2
"Amanda",4,26,1,4
"Amanda",4,26,2,4
"Amanda",1,27,1,1
"Amanda",1,27,2,1
"Amanda",2,28,1,2
"Amanda",2,28,2,2
"Amanda",5,29,1,5
"Amanda",5,29,2,5
"Amanda",3,30,1,3
"Amanda",3,30,2,3
"Amanda",5,31,1,5
"Amanda",5,31,2,5
"Amanda",3,32,1,2
"Amanda",3,32,2,2
"Amanda",1,33,1,1
"Amanda",1,33,2,1
"Amanda",3,34,1,3
"Amanda",3,34,2,3
"Amanda",1,35,1,1
"Amanda",1,35,2,1
"Amanda",3,36,1,2
"Amanda",3,36,2,2
"Amanda",5,37,1,5
"Amanda",5,37,2,5
"Amanda",4,38,1,4
"Amanda",4,38,2,4
"Amanda",2,39,1,2
"Amanda",2,39,2,2
"Amanda",3,40,1,3
"Amanda",3,40,2,3
"Amanda",1,41,1,1
"Amanda",1,41,2,1
"Amanda",2,42,1,2
"Amanda",2,42,2,2
"Amanda",2,43,1,2
"Amanda",2,43,2,2
"Amanda",3,44,1,3
"Amanda",3,44,2,3
"Amanda",3,45,1,3
"Amanda",3,45,2,3
"Amanda",5,46,1,5
"Amanda",5,46,2,5
"Amanda",4,47,1,4
"Amanda",4,47,2,4
"Amanda",5,48,1,5
"Amanda",5,48,2,5
"Amanda",4,49,1,4
"Amanda",4,49,2,4
"Amanda",1,50,1,1
"Amanda",1,50,2,1
"Eric",5,1,1,5
"Eric",5,1,2,5
"Eric",3,2,1,3
"Eric",4,2,2,3
"Eric",1,3,1,1
"Eric",1,3,2,1
"Eric",2,4,1,2
"Eric",2,4,2,2
"Eric",1,5,1,1
"Eric",1,5,2,1
"Eric",2,6,1,3
"Eric",2,6,2,3
"Eric",4,7,1,4
"Eric",4,7,2,4
"Eric",5,8,1,5
"Eric",5,8,2,5
"Eric",2,9,1,2
"Eric",2,9,2,2
"Eric",1,10,1,1
"Eric",1,10,2,1
"Eric",5,11,1,5
"Eric",5,11,2,5
"Eric",3,12,1,4
"Eric",4,12,2,4
"Eric",1,13,1,1
"Eric",1,13,2,1
"Eric",3,14,1,3
"Eric",3,14,2,3
"Eric",2,15,1,2
"Eric",2,15,2,2
"Eric",4,16,1,4
"Eric",4,16,2,4
"Eric",1,17,1,1
"Eric",1,17,2,1
"Eric",2,18,1,2
"Eric",2,18,2,2
"Eric",3,19,1,3
"Eric",3,19,2,3
"Eric",5,20,1,5
"Eric",5,20,2,5
"Eric",5,21,1,5
"Eric",5,21,2,5
"Eric",4,22,1,4
"Eric",4,22,2,4
"Eric",3,23,1,3
"Eric",3,23,2,3
"Eric",2,24,1,2
"Eric",2,24,2,2
"Eric",1,25,1,2
"Eric",2,25,2,2
"Eric",4,26,1,4
"Eric",4,26,2,4
"Eric",1,27,1,1
"Eric",1,27,2,1
"Eric",2,28,1,2
"Eric",2,28,2,2
"Eric",5,29,1,5
"Eric",5,29,2,5
"Eric",3,30,1,3
"Eric",3,30,2,3
"Eric",5,31,1,5
"Eric",5,31,2,5
"Eric",2,32,1,2
"Eric",1,32,2,2
"Eric",1,33,1,1
"Eric",1,33,2,1
"Eric",3,34,1,3
"Eric",4,34,2,3
"Eric",1,35,1,1
"Eric",1,35,2,1
"Eric",2,36,1,2
"Eric",2,36,2,2
"Eric",5,37,1,5
"Eric",5,37,2,5
"Eric",4,38,1,4
"Eric",4,38,2,4
"Eric",2,39,1,2
"Eric",2,39,2,2
"Eric",2,40,1,3
"Eric",2,40,2,3
"Eric",1,41,1,1
"Eric",1,41,2,1
"Eric",2,42,1,2
"Eric",2,42,2,2
"Eric",2,43,1,2
"Eric",1,43,2,2
"Eric",3,44,1,3
"Eric",3,44,2,3
"Eric",3,45,1,3
"Eric",3,45,2,3
"Eric",5,46,1,5
"Eric",5,46,2,5
"Eric",4,47,1,4
"Eric",4,47,2,4
"Eric",5,48,1,5
"Eric",5,48,2,5
"Eric",3,49,1,4
"Eric",4,49,2,4
"Eric",1,50,1,1
"Eric",1,50,2,1
"Britt",5,1,1,5
"Britt",5,1,2,5
"Britt",3,2,1,3
"Britt",3,2,2,3
"Britt",1,3,1,1
"Britt",1,3,2,1
"Britt",2,4,1,2
"Britt",2,4,2,2
"Britt",1,5,1,1
"Britt",1,5,2,1
"Britt",2,6,1,3
"Britt",2,6,2,3
"Britt",4,7,1,4
