"部件","操作员","响应"
5,3,120.78
4,3,121.55
7,3,121.33
7,3,121.99
2,3,118.14
3,3,119.35
6,3,122.87
10,3,121
1,3,118.03
1,3,117.92
10,3,121.11
6,3,122.87
8,3,119.68
2,3,117.7
8,3,119.9
3,3,119.57
9,3,120.12
9,3,119.68
5,3,120.67
4,3,121
16,2,121.33
13,2,119.68
20,2,120.12
20,2,119.68
13,2,119.24
15,2,115.94
11,2,122.21
14,2,119.9
12,2,119.24
19,2,118.58
11,2,121.88
16,2,121.33
19,2,118.69
12,2,119.46
18,2,119.13
18,2,119.02
17,2,121.33
14,2,120.89
17,2,121
15,2,116.49
21,1,117.92
23,1,121.11
22,1,122.87
26,1,119.68
21,1,117.7
23,1,119.9
30,1,119.57
24,1,120.12
25,1,119.68
28,1,120.67
26,1,121
22,1,122.43
24,1,119.68
27,1,117.37
29,1,121.55
28,1,120.56
25,1,119.24
29,1,121.33
27,1,118.03
30,1,118.47
