# Example Linearity & Bias Study Data
#
# Reference Values: 8, 9, 10, 11, 12
# LSL: 7.00, USL: 13.00
#
reference,measurement
8,7.92
8,8.05
8,7.98
8,8.12
8,7.90
8,8.01
8,7.95
8,8.07
8,7.88
8,8.03
9,9.02
9,9.15
9,9.07
9,9.20
9,8.99
9,9.09
9,9.13
9,8.95
9,9.05
9,9.18
10,10.08
10,10.22
10,10.14
10,10.27
10,9.96
10,10.17
10,10.23
10,9.93
10,10.11
10,10.25
11,11.15
11,11.29
11,11.21
11,11.34
11,11.02
11,11.24
11,11.31
11,11.00
11,11.18
11,11.32
12,12.21
12,12.36
12,12.27
12,12.41
12,12.08
12,12.32
12,12.39
12,12.06
12,12.24
12,12.40
